目標,請求記号,書名,著者,出版者,出版年,ISBN,紀伊國屋,カーリル
04,371-ﾅ ,「学力」の経済学,中室牧子∥〔著〕,ディスカヴァー・トゥエンティワン,2015.6,9784799316856,https://www.kinokuniya.co.jp/f/dsg-01-9784799316856,https://calil.jp/book/9784799316856
04,371-ﾌ ,教師が知らない「子どものスマホ・SNS」新常識 - 学校を変える可能性と危険性,藤川大祐∥著,教育開発研究所,2021.4,9784865605372,https://www.kinokuniya.co.jp/f/dsg-01-9784865605372,https://calil.jp/book/9784865605372
04,372-ｷ ,フィンランドメソッド実践テキスト - 読解力を高める世界一の教育プログラム,諸葛正弥∥著,毎日コミュニケーションズ,2008.4,9784839927868,https://www.kinokuniya.co.jp/f/dsg-01-9784839927868,https://calil.jp/book/9784839927868
04,372-ﾌ ,子どもたちに「未来の学力」を - フィンランドの学力観に学べ,福田誠治∥著,東海教育研究所,2008.12,9784486032007,https://www.kinokuniya.co.jp/f/dsg-01-9784486032007,https://calil.jp/book/9784486032007
04,372-ﾐ ,みんなの教育スウェーデンの「人を育てる」国家戦略,川崎一彦∥著、澤野由紀子∥著、鈴木賢志∥著、西浦和樹∥著、アールベリエル松井久子∥著,ミツイパブリッシング,2018.3,9784907364083,https://www.kinokuniya.co.jp/f/dsg-01-9784907364083,https://calil.jp/book/9784907364083
04,376-ｱ ,幼児から民主主義 - スウェーデンの保育実践に学ぶ,エリサベス・アルネール∥著、ソルヴェイ・ソーレマン∥著,新評論,2021.9,9784794811912,https://www.kinokuniya.co.jp/f/dsg-01-9784794811912,https://calil.jp/book/9784794811912
04,376-ﾔ ,夜間中学生―133人からのメッセージ,全国夜間中学校研究会第51回大会実行委員会∥編,東方出版,2005,9784885919817,https://www.kinokuniya.co.jp/f/dsg-01-9784885919817,https://calil.jp/book/9784885919817
05,367-ｵ ,これからの男の子たちへ - 「男らしさ」から自由になるためのレッスン,太田啓子∥著,大月書店,2020.8,9784272350476,https://www.kinokuniya.co.jp/f/dsg-01-9784272350476,https://calil.jp/book/9784272350476
05,367-ｷ ,お嬢さんと嘘と男たちのデス・ロード - ジェンダー・フェミニズム批評入門,北村紗衣∥著,文藝春秋,2022.6,9784163915609,https://www.kinokuniya.co.jp/f/dsg-01-9784163915609,https://calil.jp/book/9784163915609
05,367-ｸ ,カラフルなぼくら - 6人のティーンが語る、LGBTの心と体の遍歴,スーザン・クークリン∥著、浅尾敦則∥訳,ポプラ社,2014.7,9784591140833,https://www.kinokuniya.co.jp/f/dsg-01-9784591140833,https://calil.jp/book/9784591140833
